id,image_url,image_format,link,title,date_from,date_to,description
c032560019,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560019.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=19,Bexley,1880,1930,Sydney Subdivision Plan
c032560020,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560020.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=20,"Bexley, Benson's Estate",1880,1930,Sydney Subdivision Plan
c032560021,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560021.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=21,Bexley,1880,1930,Sydney Subdivision Plan
c032560022,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560022.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=22,"Bexley, Gardeners Paddock",1880,1930,Sydney Subdivision Plan
c032560023,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560023.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=23,"Bexley, Mooreville Estate",1880,1930,Sydney Subdivision Plan
c032560026,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560026.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=26,Bexley,1880,1930,Sydney Subdivision Plan
c032560027,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560027.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=27,"Bexley, Torrens Title",1880,1930,Sydney Subdivision Plan
c032560028,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560028.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=28,Bexley,1880,1930,Sydney Subdivision Plan
c032560029,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560029.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=29,"Bexley, Alston Park",1880,1930,Sydney Subdivision Plan
c032560030,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560030.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=30,"Bexley, Kingsland Estate",1880,1930,Sydney Subdivision Plan
c032560032,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560032.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=32,"Bexley, Ocean View and Bexley Heights",1880,1930,Sydney Subdivision Plan
c032560033,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560033.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=33,"Bexley, Bexley Downs Estate",1880,1930,Sydney Subdivision Plan
c032560035,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=35,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=35,"Botany, West Botany",1880,1930,Sydney Subdivision Plan
c032560038,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560038.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=38,"Hurstville, Mooreville Estate",1880,1930,Sydney Subdivision Plan
c032560040,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560040.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=40,"Bexley, Kingsland Estate",1880,1930,Sydney Subdivision Plan
c032560041,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560041.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=41,Bexley,1880,1930,Sydney Subdivision Plan
c032560046,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560046.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=46,"Kogarah, Sea View heights",1880,1930,Sydney Subdivision Plan
c032560047,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560047.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=47,"Rockdale, Bexley Heights",1880,1930,Sydney Subdivision Plan
c032560048,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560048.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=48,"Hurstville, The Grove",1880,1930,Sydney Subdivision Plan
c032560049,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560049.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=49,"Hurstville, Moorville",1880,1930,Sydney Subdivision Plan
c032560052,http://acms.sl.nsw.gov.au/_zoomify/2015/D33797/c032560052.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1290881&suppress=N&imgindex=52,"Hurstville, Lynton Heights",1880,1930,Sydney Subdivision Plan
